# AGNs_file: data/AGNs-2018-12-24.dat
# Using datacube fitting map to calculate the L[O III] 5007
plateifu LO3 LO3_err_low LO3_err_up LO3_redcorr LO3_redcorr_err_low LO3_redcorr_err_up outflow_strength outflow_strength_err
8341-12704 40.67319489811585 0.0004027577613184313 0.000445856274489309 40.859602947341955 0.035068838804669204 0.4342944819032518 0.45183733742150983 0.0016181472037175514
8329-3701 40.25001700901635 0.004493188384089856 0.004895419519714429 40.33229578801435 0.06008223066202277 0.4342944819032518 0.33530541449022605 0.013996029454369788
8439-6104 40.149131678293756 0.0016098299824531593 0.001619721251051756 40.823833155520376 0.09065801229822308 0.43429448190325176 0.10576175331970786 0.0030563577113401886
8452-1901 40.04916309441011 0.0005219817562833891 0.000528490868933128 40.101236361828434 0.07794155461551999 0.4342944819032518 0.005477530341302645 0.0005251336464847093
8483-12703 40.18842460178627 0.001138543585841103 0.0011407204315092372 40.269512135981266 0.02481516344616362 0.4342944819032518 0.0 0.0
8482-12704 40.626429617333564 0.0015395750530601165 0.0015395750530601165 40.626429617333564 0.01596905117435937 0.4342944819032518 0.057598526232316066 0.002726012457285617
8549-12701 40.96737133439499 0.0004297088517428258 0.00044666634726319587 41.03948210122205 0.048363440193807006 0.4342944819032518 0.03769170774448931 0.0007368944587582331
8465-12704 40.72875169638765 0.00045346265951056613 0.00048303462672960547 41.039968314254324 0.07625252649397224 0.43429448190325176 0.000897368163301739 0.00015414192660103874
8552-9102 40.16209214629176 0.005314621960757248 0.005503271588184443 40.49709527039684 0.042758092955665544 0.43429448190325176 0.024323573870038577 0.004729279092537848
8552-12701 39.89638973430547 0.0014894093348974415 0.0018598630819434117 40.46671699362966 0.07212771189731053 0.4342944819032518 0.12003688611441779 0.003234243965512933
8318-3704 40.14794450289497 0.000991938734030008 0.0009957809881001786 40.26614960064118 0.07185267410851515 0.43429448190325176 0.11374006491346542 0.002072000112316024
8318-6102 41.388796388269824 0.0011736501263825891 0.0012750341899076792 41.72619968235773 0.04433509851525303 0.43429448190325176 0.09167014780215316 0.0022830296369612682
8464-6101 41.90777349748886 0.00037324946769995253 0.00038366205671528275 42.44604987966931 0.026959176905956367 0.43429448190325176 0.17597375784857547 0.0008216459277629822
8320-3704 40.04340080621838 0.000678214382987606 0.0007448267262585448 40.21727686879391 0.06499998934486403 0.4342944819032518 0.032320493085158775 0.0011837049771468153
8550-3704 40.23282533431498 0.0011742666217079028 0.0012023971222038775 40.46814175089394 0.08336146583442923 0.43429448190325176 0.1201212326546224 0.0025095717188247267
8606-12701 40.50900362860715 0.0020717914560695588 0.00217129583394569 40.93404554968573 0.05709327243258324 0.43429448190325176 0.29064964726896275 0.005778367690749358
8611-3704 39.69148877425548 0.0027585825308063306 0.0032120071874496585 40.13605725451129 0.10157537971753776 0.43429448190325176 0.15874335166764267 0.006135347577050682
7992-9102 41.48067771338837 0.0009262434363463312 0.000988129952866588 41.588347434704495 0.09965433458712915 0.43429448190325176 0.37219574329003347 0.003043188568182639
8603-6101 39.668091635586 0.0029107472812707814 0.0029107472812707814 39.80460590794391 0.08619644554696172 0.43429448190325176 0.03560529433355273 0.003027653388743558
8612-12702 39.770558621895574 0.0031649308659009944 0.004787573058851277 40.24021603071641 0.12784261064678146 0.4342944819032518 0.021197929145777613 0.003418750591211424
8612-12704 41.43166379496913 0.00016909112977029787 0.00017133831705626768 41.64106638693457 0.029732617732061376 0.43429448190325176 0.1078684445787484 0.00032808550475923825
