# AGNs_file: data/AGNs-2018-04-26.dat
# Using datacube fitting map to calculate the L[O III] 5007
plateifu LO3 LO3_err_low LO3_err_up LO3_redcorr LO3_redcorr_err_low LO3_redcorr_err_up outflow_strength outflow_strength_err
8077-6103 40.36860798320757 0.00065434081486803 0.0009275263100574764 40.51807064290647 0.03506708458357947 0.8052616111771326 0.006101399532419489 0.0007428771875283083
8147-6102 39.9114642574414 0.003169331690178392 0.004532650640356285 40.41357094464331 0.10960914100831257 0.6693786390685228 0.017624425235812334 0.0030455731619965167
8146-12705 40.04624191713208 0.002297075230014977 0.00245408878893346 40.19415078490577 0.13361099985087588 0.49978915986927 0.01790649358507325 0.002627331117255525
8084-6103 39.34131223190624 0.002692173889162315 0.003410942488779209 39.996488996063135 0.1285026095396088 0.6212014766403325 0.014800141392774977 0.0020559379297988806
8718-12702 40.82182127336221 0.00047385176657423596 0.0006041591869423499 41.07486370309273 0.03343655911961673 0.7218149634027149 0.220667454537125 0.0011887630000840478
8718-12701 40.47021655651539 0.0008036747633063921 0.0009823627031274144 40.88368546838604 0.05976006072223278 0.5794174451822232 0.028306010934835226 0.0012905667434651151
8725-9102 40.65142836715598 0.0007728312817143271 0.0009030012128240818 41.09985102360559 0.04100099515889882 0.6307032637945107 0.09569721263335206 0.001658992377265829
10001-6102 40.31495774371141 0.0008050678649547685 0.0009005385754900806 40.793642370263825 0.031557768435206655 0.5834127972974338 0.20528853348594106 0.0020217565503229886
8715-3702 42.48874454483062 6.528768262547882e-05 6.52929676635645e-05 42.500533210548745 0.015371288509353022 0.4343755334502154 0.6027094491986554 0.00047370295778662204
8255-6101 40.52732106124442 0.0018941705031694674 0.0019086986166048337 40.797929016430274 0.1266285241089699 0.6177336797211946 0.1240361638869815 0.0038707739176726303
8241-9102 40.57903519639367 0.0010568176071711342 0.0010728483198480727 41.09411257955824 0.1959593179921194 0.43636626746529417 0.024592515404735612 0.0013778114607054073
8241-6102 41.348830354132 0.0001634094029829603 0.00022499020801186443 41.55521125249201 0.01253399905789048 0.8822158533844306 0.18340911981728872 0.00035178272283329395
8720-1901 40.38500152168909 0.00023888820587165168 0.00023888820587165168 40.534213756958586 0.06053890958290143 0.4342944819032518 0.003437015031300793 0.00023514821236421903
8547-12701 40.61354911333048 0.0007161644206225514 0.0008134125201173678 41.268098117019434 0.06107422374257015 0.5274002596239318 0.02072178298690535 0.001005933625650837
8978-12705 39.687852650303725 0.002502834846389396 0.003077354330491468 40.06026112120033 0.05546455738798921 1.3744696938084926 0.12105799554331097 0.0055154551415697575
8978-6102 39.09127657251295 0.004180818234540814 0.004799753305713946 38.998682554740135 33.187099226848346 0.5228783907796883 0.0 0.0
8978-9101 39.88028028391696 0.0013697200425647647 0.001836215844775437 40.13322015711744 0.0901192832792415 0.8197849731753596 0.0 0.0
8979-6102 39.949190679156544 0.0017008815074134793 0.0018169553156736921 40.0766632374755 0.08245041524585678 0.5642238426346929 0.07208633056602906 0.003367183419708503
8948-12704 40.64311909533969 0.001698931111485174 0.0019661636241536857 41.000097504184346 0.054675882639602734 0.6045746867803241 0.4719026804558979 0.007226015705732071
8946-3701 40.50844668512752 0.0016865794149080366 0.001710514252902297 40.81635291107777 0.058713191287256716 0.46108152226478677 0.32315555711976734 0.005231756942516306
