# the excluded, use_AGN is True, use_composite is False
plateifu ra dec z psf mangaid BPT_x BPT_y EW_Ha is_limit 
8083-3701 50.1997928211 0.185604406926 0.0375584 2.4487 1-38189 -0.11406343430280685 0.527228593826294 0.9960229992866516 0 
8083-9101 50.138413881 -0.339959846103 0.0382806 2.40989 1-38017 -0.1044323593378067 -0.07595999538898468 6.270299434661865 0 
8083-12702 50.245414 -0.367683 0.0209779 2.4304 1-583411 -0.4310753643512726 -0.6481578350067139 20.940250396728516 0 
8083-12704 50.6967861467 0.149366137403 0.0228308 2.40208 1-604053 -0.01960984617471695 0.14179402589797974 2.3279294967651367 0 
8083-12703 49.9293385832 0.565477825589 0.0243398 2.41146 1-38168 -0.42974433302879333 -0.4097294807434082 74.05438995361328 0 
8083-12701 50.5013985806 -0.807105203712 0.035921 2.41938 1-38380 -0.4771775007247925 0.07365641742944717 7.014623641967773 0 
8083-12705 50.1789838473 -1.10865356255 0.0209112 2.41762 1-604039 -0.4947739839553833 -0.6330980062484741 29.91863250732422 0 
8083-6103 50.9401586064 0.00743315679052 0.0360783 2.44253 1-38428 0.11626038700342178 0.6067640781402588 0.8218724727630615 0 
8138-3702 116.097926044 44.5277414829 0.049657 2.39238 1-339028 0.17134955525398254 0.6664118766784668 1.259131669998169 0 
8138-6103 117.318152949 46.2050395381 0.0381633 2.53146 1-339138 -0.38546979427337646 -0.43479108810424805 18.103700637817383 0 
8138-1901 116.763969988 46.5344816505 0.02753 2.45309 1-339233 -0.5224906802177429 -0.24065998196601868 27.87273406982422 0 
8138-6101 115.964007538 44.7243293414 0.0313198 2.4613 1-339010 -0.2649054229259491 0.19768424332141876 26.26201629638672 0 
8138-12701 115.633440402 44.2338189442 0.0447728 2.46136 1-338829 -0.5134209394454956 -0.4359440505504608 17.43195343017578 0 
8138-6102 117.144342496 44.6882851596 0.0203541 2.42364 1-339061 -0.17160356044769287 -0.07348967343568802 3.7789371013641357 0 
8138-3701 118.325311619 44.8660108525 0.0495306 2.45946 1-44216 -0.3573564291000366 -0.23085103929042816 12.395553588867188 0 
8138-12703 116.389688776 45.7723275492 0.0316755 2.40712 1-339166 -0.17989730834960938 0.07545334845781326 2.293713331222534 0 
8138-12704 116.657135061 44.7905163357 0.030805 2.45666 1-339041 -0.32121968269348145 -0.3270717263221741 4.639691352844238 0 
8138-3704 118.020494772 44.1614622644 0.0262834 2.48497 1-44183 -0.41153329610824585 -0.7085670828819275 14.788596153259277 0 
8138-6104 117.291419677 46.4618830471 0.0382298 2.43185 1-339258 -0.5958893895149231 -0.19981712102890015 24.96853256225586 0 
8138-9101 117.302592541 45.5102739714 0.0532025 2.42777 1-548136 -0.16994094848632812 -0.02043401263654232 2.10831356048584 0 
8138-9102 118.328543844 45.4620260271 0.0633077 2.41439 1-44219 -0.2513396143913269 -0.33126184344291687 7.856113910675049 0 
8138-12705 116.913117872 44.4627901849 0.0531292 2.41066 1-339042 -0.2683655023574829 -0.18597593903541565 4.601896286010742 0 
