plateifu logR_fsb1 logR_fsb1_err logR_fsb2 logR_fsb2_err logR_fsb2_orig logR_fsb2_orig_err is_limit agn_fraction agn_pixels excess
8718-12702 3.4576566769691754 0.060646496944521136 3.454498157724346 0.1 3.2791986846343875 0.1 1 0.1776061776061776 230 1
8718-12701 3.4777642346295785 0.0740638635251674 3.4796816526753003 0.1 3.2375991477890147 0.1 1 0.14344262295081966 140 1
8725-9102 3.503523979004699 0.06860013588806489 3.501740426264282 0.1 3.11613415266597 0.1 1 0.16767371601208458 111 1
10001-6102 3.314598007754842 0.05670200933837341 3.595864309610709 0.20008277229906948 3.566250352169697 0.22093049707101675 0 0.12628624883068287 135 1
8715-3702 3.709542533607759 0.047251674448644525 3.8939694076411433 0.05816181256246766 3.884709470900024 0.061512438465279 0 0.9964912280701754 568 1
8255-6101 3.52558024924638 0.077492746095777 3.5675490540177264 0.0784649778617247 3.2803872998588233 0.14668170181284185 0 0.8678414096916299 197 0
8241-9102 3.67456831563122 0.06249415007723952 3.847198144582083 0.29800859788272716 3.7934642987199667 0.3570563245986855 0 0.861244019138756 180 1
8241-6102 3.4461976321112933 0.05960980468905924 3.4801022958769683 0.1 3.141439763928069 0.1 1 0.09162717219589257 116 1
8720-1901 3.375418326397746 0.04293702687044383 3.374386776818487 0.05276227622853162 3.345168534745268 0.05636832065355729 0 1.0 339 0
8547-12701 3.558533608379856 0.05535196149698358 3.5833053431953985 0.05990482452019722 3.421935623977533 0.10631582714035431 0 0.35152838427947597 322 0
8978-12705 3.1974510210140275 0.0813203230284429 3.2706176820717845 0.14993406283090766 3.1966505145966075 0.20645376862207104 0 0.06058221872541306 77 1
8978-6102 -3.26395057353054 217147.2409516259 -3.26395057353054 217147.2409516259 -3.26395057353054 217147.2409516259 0 0.6185897435897436 193 0
8978-9101 3.1803488267716227 0.08967017762511338 3.1665605422859895 0.1 2.985436845902522 0.1 1 0.13587604290822408 228 1
8979-6102 3.204528367856922 0.09675394888258862 3.249303521086226 0.10295486307176331 2.902624991440168 0.26391717624120065 0 0.07364341085271318 95 0
8948-12704 3.5858350347396155 0.08334489538599751 3.5822158931128847 0.1 3.0846315844455385 0.1 1 0.09741144414168937 143 1
8946-3701 3.479997332359373 0.07858419322388654 3.5372240025189474 0.1 3.0324313212014267 0.1 1 0.6293103448275862 146 1
8947-3701 3.4539070628447224 0.07419518243212692 3.496099752904007 0.07321961406237278 3.269590109106494 0.13842766939669912 0 0.8926553672316384 158 0
8945-3703 3.3356500303964536 0.0937412251158593 3.2190547563728247 0.17252145370213035 3.0245666254810453 0.3729920177243048 0 0.657243816254417 186 0
8597-3703 3.372370256657553 0.0680424112060481 3.399072889206404 0.1 3.278100339815705 0.1 1 0.9923076923076923 258 1
9026-9101 3.374686794917384 0.05935614594570154 3.4084526492655858 0.1 3.1797101917013286 0.1 1 0.2257834757834758 317 1
9049-1901 3.9969606817269976 0.05787839957360938 4.016943319227238 0.06416648359365687 3.8308443601838 0.11873260548701958 0 0.5 154 1
9002-12702 3.50038072639446 0.07697954910176523 3.4675318147795284 0.1 3.4386750747570547 0.1 1 1.0 203 0
9031-1902 3.453042488264183 0.06758088322306136 3.444797504755465 0.07759367503389666 3.32812818687088 0.10592527431335862 0 0.5994236311239193 208 0
9027-12704 3.453715161459195 0.054541628727320546 3.436656098371896 0.05824283301336648 3.323256066976506 0.0760065887922205 0 0.2898457583547558 451 0
8982-3703 3.508551569440034 0.06501069303336997 3.58165282603249 0.06774605904877506 3.3696559517889746 0.19305938793680733 0 0.9786324786324786 229 1
7972-6103 3.474711873498818 0.06457728841314753 3.450050363205527 0.06950763073137455 3.2274639318631486 0.12864436812082217 0 0.5771513353115727 389 0
9025-12704 3.507911336036713 0.06680409146187674 3.522053594728739 0.0661726892907329 3.3752991647157424 0.10707943811895006 0 0.12348922753547031 235 0
7958-9101 3.4174876779748353 0.06607276246060986 3.4612660473082806 0.18637791271917203 3.381917549162633 0.24060299163426818 0 0.7268518518518519 314 1
9195-3703 3.407874735539323 0.04715051593433193 3.409096380457104 0.1 3.2742868898225095 0.1 1 0.1641337386018237 108 1
8080-12703 3.2644737017717906 0.05561680341802179 3.3263189058954126 0.2950405959712252 3.2889136977499818 0.3399306693180418 0 0.05261151353412123 138 1
9182-6102 3.632785550964923 0.0680424112060481 3.657491423757698 0.1 3.284819517254724 0.1 1 1.0 170 1
9193-12701 3.221703098579844 0.036758474734259736 3.301783823820726 0.039330060288658486 3.3023857972718096 0.03879307650420013 0 0.990521327014218 1254 1
8940-12702 3.36343948143898 0.05189246390342211 3.524795376126302 0.0807934056251221 3.5180742222022885 0.0868827861468551 0 0.25107810253953045 524 1
9183-3703 3.4236138144044688 0.039476530964609936 3.3619081509620017 0.05088143898829557 3.3387210042230544 0.05474160948313919 0 0.9959016393442623 729 0
8993-12705 3.4284143371353366 0.04911512076492909 3.584647281775632 0.04888200808675154 3.5402559292239757 0.05735625322913891 0 0.11590992986341823 314 1
8992-3702 3.1926513793849756 0.0759732804860559 3.2131201204315483 0.07839264230192834 2.7612509083371126 0.41371792284995246 0 0.3209700427960057 225 0
9485-12705 3.3834730871140954 0.05980978596930638 3.777733529198968 0.1 3.777733529198968 0.1 1 0.03841676367869616 99 1
9487-3702 3.4756539221416287 0.0801649097542521 3.457300720160749 0.1 3.1136264693602356 0.1 1 0.9294117647058824 237 0
8989-3703 3.2636603830887028 0.06457728841314751 3.3097544994225947 0.06105204213207527 2.975051049540299 0.16896942585071145 0 0.55 253 0
8984-9102 3.1304726523431934 0.0890342189185523 3.1418811814805525 0.10401643281957727 2.9320024212596842 0.14789764168720876 0 0.18191603875134554 169 0
8983-12701 3.1986456752914196 0.07199326088897992 3.2019938778135533 0.0973812586724046 2.890203994994842 0.255906980013356 0 0.06003159557661927 114 1
8311-6104 3.3256846938976583 0.055794777188959435 3.3314370227867496 0.1 2.6409551286762496 0.1 1 0.11655011655011654 150 1
8309-12701 3.5411615858652974 0.08628058328189604 3.5411615858652974 0.1 3.161844874813721 0.1 1 0.24475524475524477 105 0
9507-12704 3.15471533559862 0.05717111894124876 3.1616641955539477 0.1 2.9375114910280273 0.1 1 0.5780487804878048 711 1
9507-12705 3.319104793394038 0.060541207887325796 3.2951044512198657 0.07033010744069672 3.173079432076475 0.10533952673512624 0 0.31094527363184077 250 0
9508-12704 3.576561980568567 0.0948950541166554 3.606297167982828 0.1 3.0229866126677045 0.1 1 0.04715248009797918 77 1
9508-3704 3.291455380430694 0.06579572781716916 3.324955001841831 0.1 3.0654900646195054 0.1 1 0.22118380062305296 142 1
9024-12705 3.52067843423116 0.08066714774307389 3.5324556220199703 0.15136558794152943 3.2927243182420325 0.29500020402929344 0 0.07120743034055728 115 1
9488-3702 3.0191462210111406 0.09823024152985818 3.1152912488458533 0.08350566624904864 2.5904627540073846 0.4230890424093219 0 0.7281879194630873 217 0
9502-9101 3.6478599601056017 0.08610305121753001 3.893189805571481 0.1 3.6478599601056017 0.1 1 0.8288288288288288 92 0
9502-12703 3.375525926532738 0.05406470657844908 3.403238914399771 0.1 3.043087466617133 0.1 1 0.8463855421686747 1124 1
9511-12704 3.473355342309441 0.07044795099616091 3.5030260129766613 0.1 3.2373879924015214 0.1 1 0.10175438596491228 232 1
9511-6104 3.269115147509683 0.11284336959564828 3.2567412483295843 0.1 3.0315323699059613 0.1 1 0.8396946564885496 110 0
8990-12705 3.459130162169823 0.05783040753416196 3.4895301266583205 0.07772882720979017 3.4670610326379956 0.08924210263810306 0 0.5318681318681319 242 1
8990-9101 3.127729042727138 0.09884278838747068 3.190803815305113 0.10007573270706348 2.716072492693806 0.4677904468198565 0 0.4931506849315068 252 0
8442-9102 3.2152153650664577 0.06292644043867607 3.2152153650664577 0.1 3.005177576483088 0.1 1 0.17993874425727413 235 1
9048-1902 3.5989898415743324 0.05644867868282125 3.618000112541517 0.05610666362281166 3.423997455390483 0.09581901537594834 0 1.0 351 0
9095-12701 3.570490346449154 0.10389372304151066 3.700546699104703 0.1 1.9831536119418982 0.1 1 0.22727272727272727 65 1
9196-12703 3.6448221823857985 0.08205114292494035 3.646945876015654 0.1 3.180290054974156 0.1 1 0.20027434842249658 146 1
9881-1901 3.1083491690845046 0.09846137150992842 3.142683686515405 0.11881076741233239 2.787646400284439 0.2640624291389906 0 0.49047619047619045 103 0
9883-12701 3.5644807115100527 0.07875279074774086 3.597435164692297 0.08911555615805665 3.373982426600417 0.14582343658256794 0 0.5486284289276808 220 0
9888-12701 3.4601534198200565 0.05152443224453259 3.523975052068623 0.06339779118099045 3.473805463939743 0.07574052141377527 0 0.7801120448179272 557 1
9893-6102 -3.0583177923724567 217147.2409516259 -3.0583177923724567 217147.2409516259 -3.0583177923724567 217147.2409516259 0 0.911504424778761 103 0
8656-12705 3.641703836809756 0.05942695252743636 3.6599651537840723 0.05697996036454236 3.587878724501047 0.06726800876369576 0 0.09035779260157671 149 0
8656-12702 3.3960896905595406 0.10940152389992046 3.390375207035111 0.1 3.236704125006712 0.1 1 0.10032894736842106 122 0
9498-3703 3.402656698060058 0.05174462212591949 3.3864890652325244 0.05513679548898968 3.0288557332499964 0.18189717214200946 0 0.6018376722817764 393 0
10216-3704 3.247303796751889 0.07264944946479095 3.283857001965687 0.07592620470026254 3.005698252119168 0.16700596134115436 0 0.9900497512437811 199 0
10216-12704 3.6539390699072807 0.04448942378551279 4.084478299958642 0.1433149573852015 4.088181546769569 0.14299962697985724 0 0.7557117750439367 860 0
10218-1902 3.361547644481706 0.07080555480832418 3.5985603353623685 0.1 3.5735864507249855 0.1 1 0.8376623376623377 129 1
